date,block_time,tx_vol,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,dormancy_1,sdd_1
09/03/13,2009-03-13,640000000000.0,0.0,114.0,0.0,36235000000000.0,75000000000,75000000000,75000000000,0.43509878973461635,276287731481.48126
09/03/14,2009-03-14,550000000000.0,0.0,110.0,0.0,36800000000000.0,0,0,0,-1.6653345369377348e-16,-0.000244140625
09/03/15,2009-03-15,615000000000.0,0.0,123.0,0.0,37350000000000.0,0,0,0,-1.6653345369377348e-16,-0.000244140625
09/03/16,2009-03-16,845000000000.0,0.0,122.0,0.0,37965000000000.0,240000000000,240000000000,240000000000,2.184612597327441,1922459085648.1477
09/03/17,2009-03-17,570000000000.0,0.0,114.0,0.0,38570000000000.0,0,0,0,0.0,-0.000244140625
09/03/18,2009-03-18,640000000000.0,0.0,116.0,0.0,39140000000000.0,70000000000,70000000000,70000000000,0.4305812159058283,277724884259.25903
09/03/19,2009-03-19,610000000000.0,0.0,122.0,0.0,39710000000000.0,0,0,0,0.0,-0.000244140625
09/03/20,2009-03-20,650000000000.0,0.0,119.0,0.0,40320000000000.0,60000000000,60000000000,60000000000,0.23464636752136753,152520138888.88864
09/03/21,2009-03-21,250000000000.0,0.0,50.0,0.0,40910000000000.0,0,0,0,0.0,-0.000244140625
09/03/22,2009-03-22,650000000000.0,0.0,121.0,0.0,41160000000000.0,55000000000,55000000000,55000000000,0.7995903236156948,403793113425.92566
09/03/23,2009-03-23,650000000000.0,0.0,130.0,0.0,41755000000000.0,0,0,0,0.0,-0.000244140625
09/03/24,2009-03-24,525000000000.0,0.0,105.0,0.0,42405000000000.0,0,0,0,0.0,-0.000244140625
09/03/25,2009-03-25,585000000000.0,0.0,117.0,0.0,42930000000000.0,0,0,0,0.0,-0.000244140625
09/03/26,2009-03-26,725000000000.0,0.0,118.0,0.0,43515000000000.0,140000000000,140000000000,140000000000,0.8233231547149984,580442824074.0736
09/03/27,2009-03-27,530000000000.0,0.0,106.0,0.0,44100000000000.0,0,0,0,0.0,-0.000244140625
09/03/28,2009-03-28,695000000000.0,0.0,122.0,0.0,44630000000000.0,100000000000,100000000000,100000000000,0.6929879697215464,474696759259.25903
09/03/29,2009-03-29,580000000000.0,0.0,116.0,0.0,45225000000000.0,0,0,0,0.0,-0.000244140625
09/03/30,2009-03-30,600000000000.0,0.0,120.0,0.0,45805000000000.0,0,0,0,0.0,-0.000244140625
09/03/31,2009-03-31,710000000000.0,0.0,111.0,0.0,46405000000000.0,160000000000,160000000000,160000000000,0.7426787994891443,538442129629.6294
09/04/01,2009-04-01,570000000000.0,0.0,114.0,0.0,46955000000000.0,0,0,0,0.0,-0.000244140625
09/04/02,2009-04-02,575000000000.0,0.0,115.0,0.0,47525000000000.0,0,0,0,0.0,-0.000244140625
09/04/03,2009-04-03,580000000000.0,0.0,116.0,0.0,48100000000000.0,0,0,0,0.0,-0.000244140625
09/04/04,2009-04-04,565000000000.0,0.0,113.0,0.0,48680000000000.0,0,0,0,0.0,-0.000244140625
09/04/05,2009-04-05,735000000000.0,0.0,132.0,0.0,49245000000000.0,85000000000,85000000000,85000000000,0.4593269832332333,339901967592.5924
09/04/06,2009-04-06,545000000000.0,0.0,109.0,0.0,49895000000000.0,0,0,0,0.0,-0.000244140625
09/04/07,2009-04-07,500000000000.0,0.0,100.0,0.0,50440000000000.0,0,0,0,0.0,-0.000244140625
09/04/08,2009-04-08,525000000000.0,0.0,105.0,0.0,50940000000000.0,0,0,0,0.0,-0.000244140625
09/04/09,2009-04-09,495000000000.0,0.0,99.0,0.0,51465000000000.0,0,0,0,0.0,-0.000244140625
09/04/10,2009-04-10,540000000000.0,0.0,108.0,0.0,51960000000000.0,0,0,0,0.0,-0.000244140625
